Year,Type,Subtype,Name,Country,Location
2009,Storm,Convective storm,,Argentina,"Santa Rosa, Tobuna, Pozo Azul cities (San Pedro district, Misiones province)"
2012,Storm,Convective storm,,Argentina,"Buenos Aires, Buenos Aires D.f. provinces"
2012,Storm,Convective storm,,Argentina,"Buenos Aires , Buenos Aires D.f. provinces"
2013,Storm,Convective storm,,Argentina,"Banfield city (Lomas de Zamora district, Buenos Aires province), Chivilcoy district (Buenos Aires province)."
2015,Storm,Convective storm,,Argentina,"Colon, Cruz del Eje, Punilla districts (Cordoba province)"
2018,Storm,Convective storm,,Argentina,"La Matanza, Quilmes, Padre Varela de Luján,Lomas de Zamora districts (Buenos Aires)"
2020,Storm,Convective storm,,Argentina,"Famaillá, La Reducción, La Madrid, Los Ralos, Yerba Buena municipalities (Tucumán province )"
1974,Storm,,,Argentina,Santiago Del Estero
1975,Storm,,,Argentina,Nequen province
1978,Storm,,,Argentina,Cordoba
1987,Storm,,,Argentina,
1993,Storm,,,Argentina,River Plate area
1995,Storm,,,Argentina,Buenos Aires Province
1998,Storm,,,Argentina,Buenos Aires
2001,Storm,,,Argentina,Buenos Aires province
2001,Storm,,,Argentina,"Palma Sola city (Santa Barbara district, Jujuy province), Salta and Catamarca provinces"
2002,Storm,,,Argentina,"Entre Rios, Santa Fe, Buenos Aires, Buenors Aires D.f. provinces"
2005,Storm,,,Argentina,"Buenos Aires D.f., Buenos Aires provinces"
2013,Storm,Convective storm,,Armenia,Armavir province
2018,Storm,Convective storm,,Armenia,Shirak region
2019,Storm,Convective storm,,Armenia,"Karnut, Saratak, Hovit, Basen, Arevik, Jradzor, Tshoghamarg, Goghovit, Gtashen, Hoghmik, Lernaghyugh, Torosgyugh, Hovtun, Amasia (Shirak region)"
2020,Storm,Convective storm,,Armenia,Gyumri 
1976,Storm,Convective storm,,Australia,"Too-Woomba, Queensland"
1976,Storm,Convective storm,,Australia," Sandon, Castlemaine, Mortlake (Victoria)"
1977,Storm,Convective storm,,Australia,New South Wales
1979,Storm,Convective storm,,Australia,
1981,Storm,Convective storm,,Australia,"Queensland, New South Wales, South Australia, West Australia"
1982,Storm,Convective storm,,Australia,"Victoria, Melbourne"
1982,Storm,Convective storm,,Australia,Southern Queensland
1985,Storm,Convective storm,,Australia,"Brisbane, Queensland"
1985,Storm,Convective storm,,Australia,"Melbourne, Victoria"
1986,Storm,Convective storm,,Australia,"Orange, New South Wales"
1990,Storm,Convective storm,,Australia,Syndey
1991,Storm,Convective storm,,Australia,"Sydney, New South Wales"
1992,Storm,Convective storm,,Australia,Sydney region
1992,Storm,Convective storm,,Australia,Victoria
1993,Storm,Convective storm,,Australia,Manduarh
1994,Storm,Convective storm,,Australia,Sydney
1994,Storm,Convective storm,,Australia,"Narrogin, Albany, Katanning, Geraldton, Dongara, Moora Perth"
1995,Storm,Convective storm,,Australia,"Merimbula, Pambula"
1996,Storm,Convective storm,,Australia,Singleton district
1999,Storm,Convective storm,,Australia,Sydney
2001,Storm,Convective storm,,Australia,Gold Coast district (Queensland province)
2002,Storm,Convective storm,,Australia,New South Wales province
2003,Storm,Convective storm,Hailstorm,Australia,Sydney district (New South Wales province)
2003,Storm,Convective storm,,Australia,Melbourne district (Victoria province)
2003,Storm,Convective storm,,Australia,Gladstone district (Queensland province)
2003,Storm,Convective storm,,Australia,Greater Bendigo district (Victoria province)
2008,Storm,Convective storm,,Australia,"Brisbane, Logan, Gold Coast, Sunshine Coast, Moreton Bay districts (Queensland province)"
2009,Storm,Convective storm,,Australia,"Queensland, New South Wales provinces"
2010,Storm,Convective storm,,Australia,"Victoria, New South Wales, Tasmania provinces"
2010,Storm,Convective storm,,Australia,"Joondalup, Mandurah, Perth districts (Western Australia province)"
2014,Storm,Convective storm,,Australia,Brisbane district (Queensland province)
2015,Storm,Convective storm,,Australia,"Dungog, Hunters Hill, Sydney districts (New South Wales province)"
2016,Storm,Convective storm,,Australia,"New South Wales, Queensland, Tasmania provinces"
2017,Storm,Convective storm,,Australia,
2020,Storm,Convective storm,,Australia,"New South Wales , Victoria States "
2020,Storm,Convective storm,,Australia,Brisbane
1970,Storm,Tropical cyclone,Ada,Australia,Queensland
1971,Storm,Tropical cyclone,Althea,Australia,Townsville area (Queensland)
1974,Storm,Tropical cyclone,Tracy,Australia,Darwin
1974,Storm,Tropical cyclone,Wanda,Australia,Brisbane (Queensland)
1975,Storm,Tropical cyclone,Joan,Australia,Western
1976,Storm,Tropical cyclone,David,Australia,Queensland
1976,Storm,Tropical cyclone,Beth,Australia,Bundaberg Qld
1976,Storm,Tropical cyclone,Ted,Australia,Queensland
1978,Storm,Tropical cyclone,Alby,Australia,Western
1979,Storm,Tropical cyclone,Hazel,Australia,Western Australia
1980,Storm,Tropical cyclone,Amy,Australia,New South Wales Coast
1980,Storm,Tropical cyclone,Dean,Australia,Pilbara
1980,Storm,Tropical cyclone,Enid,Australia,Pilbara
1980,Storm,Tropical cyclone,,Australia,"Brisbane, Queensland"
1982,Storm,Tropical cyclone,Dominic,Australia,North Queensland
1986,Storm,Tropical cyclone,Winifred,Australia,North Queensland
1988,Storm,Tropical cyclone,Charlie,Australia, Queensland
1989,Storm,Tropical cyclone,Aivu,Australia,"South New Gales, Queensland"
1989,Storm,Tropical cyclone,Orson,Australia,
1990,Storm,Tropical cyclone,Joy,Australia,Queensland
1994,Storm,Tropical cyclone,Hurricane,Australia,
1995,Storm,Tropical cyclone,Bobby,Australia,Onslow
1996,Storm,Tropical cyclone,Olivia,Australia,
1999,Storm,Tropical cyclone,Rona,Australia,Queensland State
1999,Storm,Tropical cyclone,Vance,Australia,Exmouth
2000,Storm,Tropical cyclone,Steve,Australia,"Cairns, Tablelands districts (Queensland province), New South Wales province"
2000,Storm,Tropical cyclone,Tessi,Australia,Townsville district (Queensland province)
2000,Storm,Tropical cyclone,Sam,Australia,"Bidyadanga area (Broome district, Western Australia province)"
2006,Storm,Tropical cyclone,Glenda,Australia,"Exmouth, Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)"
2006,Storm,Tropical cyclone,Clare,Australia,"Wyndham-East Kimberley, Ashburton, East Pilbara, Port Hedland, Roebourne, Upper Gascoyne districts (Western Australia province)"
2006,Storm,Tropical cyclone,Larry,Australia,Cairns district (Queensland province)
2007,Storm,Tropical cyclone,George and Jacob,Australia,"Darwin district (Northern Territory province), Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)"
2009,Storm,Tropical cyclone,"Tropical storm ""Dominic""",Australia,Queensland province
2010,Storm,Tropical cyclone,"Cyclone ""Ului""",Australia,"Mackay, Whitsunday districts (Queensland province)"
2011,Storm,Tropical cyclone,"Tropical Cyclone ""Yasi""",Australia,"Cassowary, Innisfail, Silkwood, Mission Beach, Cardwell, Tully towns (Cassowary Coast district, Queensland province), Townsville town (Townsville district, Queensland province), Ingham town (Hinchinbrook district, Queensland province)"
2013,Storm,Tropical cyclone,Ex-Tropical cyclone Oswald,Australia,"Brisbane, Ipswich, Bundaberg, Rockhampton districts (Queensland province), New South Wales province"
2015,Storm,Tropical cyclone,Cyclone Lam ,Australia,"Northern Territory, Western Australia provinces"
2015,Storm,Tropical cyclone,Cyclone 'Marcia',Australia,"Queensland, New South Wales provinces"
2015,Storm,Tropical cyclone,Cyclone 'Olwyn',Australia,"Carnarvon, Ashburton, Upper Gascoyne, Geraldton-Greenough, Irwin districts (Western Australia province)"
2017,Storm,Tropical cyclone,Debbie,Australia,"Logan region; Queensland; Nouvelle-Galles du Sud, au sud du Queensland, Sydney; Bowen (Whitsunday), Mackay, Proserpine (Whitsunday), Airlie beach (Whitsunday Isl.)"
2021,Storm,Tropical cyclone,Tropial cylone 'Niran',Australia,Queensland and New South Wales
2021,Storm,Tropical cyclone,Tropical cyclone 'Seroja-21',Australia,Kalbarri and Northampton Town
1976,Storm,,,Australia,Sydney
1977,Storm,,,Australia,"Tongala, Echuca Victoria"
1978,Storm,,,Australia,"South Australia, Victoria Harbour, Tasmania"
1978,Storm,,,Australia,"Sydney, Newcastle, Wollongong (New South Wales)"
1978,Storm,,,Australia,"North Coast, New South Wales"
1978,Storm,,,Australia,Sydney (New South Wales)
1980,Storm,,,Australia,"Brighton, Queensland"
1983,Storm,,,Australia,Queensland
1983,Storm,,,Australia,South
1983,Storm,,,Australia,"Perth, Bunbury"
1986,Storm,,,Australia,"Sydney, New South Wales"
1986,Storm,,,Australia,"Sydney, New South Wales"
1986,Storm,,,Australia,Adelaid
1991,Storm,,,Australia,
1993,Storm,,,Australia,"Melbourne, Shepparton"
1994,Storm,,,Australia,"Victoria, South Wales"
1995,Storm,,,Australia,"South East & Brisbane, Granite Belt Region"
1995,Storm,,,Australia,"Maitland, Metford, Thornton, Tarree (Hunter Valley & Mid-North Coast)"
1996,Storm,,,Australia,Sydney
1996,Storm,,,Australia,"Dubbo, Young, Bathurst & Southern Sydney"
1996,Storm,,,Australia,Sydney
1996,Storm,,,Australia,Armidale
1999,Storm,,John,Australia,"Whim Creek, Roeburne"
2001,Storm,,,Australia,Sydney district (New South Wales province)
2001,Storm,,,Australia,"Brisbane district (Queensland province), Kiama, Shellharbour, Wingecarribee, Wollongong, Hornsby, Ku-ring-gai, Waverley, Richmond Valley, Armidale Dumaresq, Tamworth Regional, Clarence Valley, Kyogle districts (New South Wales province)"
2002,Storm,,,Australia,"Sydney, Liverpoool, Fairfield, Holroyd, Parramatta, Blacktown, The Hills Shire, Campbelltown districts (New South Wales province)"
2002,Storm,,,Australia,"Port Stephens, Greater Taree districts (New South Wales province)"
2003,Storm,,,Australia,New South Wales province
2004,Storm,,,Australia,"Victoria, Queensland provinces"
2004,Storm,,,Australia,Brisbane district (Queensland province)
2004,Storm,,,Australia,"Victoria, New South Wales provinces"
2005,Storm,,,Australia,"Narrabri, Jerilderie, Wagga Wagga, Griffith, Bega Valley, Eurobodalla, Shoalhaven, Campbelltown districts (New South Wales province)"
2005,Storm,,,Australia,"Australian Capital Territory, Queensland, New South Wales, Victoria provinces"
1981,Storm,Convective storm,,Austria,Donau regions
1984,Storm,Convective storm,,Austria,
1990,Storm,Convective storm,,Austria,
1990,Storm,Convective storm,,Austria,
1991,Storm,Convective storm,,Austria,
1993,Storm,Convective storm,,Austria,
2009,Storm,Convective storm,,Austria,"Kufstein district (Tirol province), Braunau am Inn, Voecklabruck, Wels districts (Oberosterreich province), Tulln district (Niederosterreich province), Wien district (Wien province)"
2017,Storm,Convective storm,,Austria,"Tirol, Karnten, Liezen (Sölk, Öblarn, Donnersbachwald), Murtal-Judenburg (Oberzeiring, Kobenz), Murau (Oberwölz) (Steiermark), Grossartal-Sankt Johann imm Pongau (Salzburg), Mayhofem-Schwaz (Zillertal), Steinach am Brenner-Innsbruck-land, Floitental (Schwaz), Oberösterreich (Waldzell-Ried im Innkreis), Niederösterreich, Bruck-Mürzzuschlag-Bruck an der mur, Deutschlandsberg, Wiez, Leoben"
2017,Storm,Convective storm,,Austria,"Sankt Johann am Walde (Braunau am Inn), Salzburg, Bad Ischl (Gmunden)"
2019,Storm,Convective storm,,Austria,"Land du Vorarlberg, alpes salzbourgeoises, Land de Styrie"
2002,Storm,Extra-tropical storm,Jeannet,Austria,No Data from sources (all provinces of Austria have been selected)
2007,Storm,Extra-tropical storm,Kyrill,Austria,No Data from sources (all provinces of Austria have been selected)
2008,Storm,Extra-tropical storm,Emma,Austria,"Tirol, Salzburg, Niederosterreich provinces"
1976,Storm,,,Austria,
1990,Storm,,Ottilie and Polly,Austria,
1990,Storm,,Vivian,Austria,
1990,Storm,,Wiebke,Austria,
1994,Storm,,Lore,Austria,
2000,Storm,,,Austria,Steiermark province
2002,Storm,,,Austria,Salzbourg region
1946,Storm,Tropical cyclone,,Azores Islands,
1996,Storm,,,Azores Islands,Ponta Delgada
1926,Storm,Tropical cyclone,,Bahamas (the),Nassau
1929,Storm,Tropical cyclone,,Bahamas (the),Nassau
1935,Storm,Tropical cyclone,,Bahamas (the),Bimini
1945,Storm,Tropical cyclone,,Bahamas (the),
1963,Storm,Tropical cyclone,Flora,Bahamas (the),
1965,Storm,Tropical cyclone,Betsy,Bahamas (the),"Eleuthera, Abaco, Andr"
1966,Storm,Tropical cyclone,Inez,Bahamas (the),"Nassau, Bimini"
1966,Storm,Tropical cyclone,Inez,Bahamas (the),
1990,Storm,Tropical cyclone,Arthur,Bahamas (the),
1992,Storm,Tropical cyclone,Andrew,Bahamas (the),"Eleuthera, Bimini, Berry Islands"
1995,Storm,Tropical cyclone,Erin,Bahamas (the),"Abaco, Grand Bahma, Mayaguana, Exuma"
1999,Storm,Tropical cyclone,Floyd,Bahamas (the),Grand Bahama Isl.
2001,Storm,Tropical cyclone,Michelle,Bahamas (the),New Providence island (Administrative unit not available)
2004,Storm,Tropical cyclone,Jeanne,Bahamas (the),"Abaco, Andros, Berry, Bimini, Eleuthera, Exuma, Grand Bahama, New Providence Islands (Administrative unit not available)"
2004,Storm,Tropical cyclone,Frances,Bahamas (the),"Abacos, Andros, Berry Islands, Bimini, Eleuthera, Grand Bahama, New Providence islands (Administrative unit not available)"
2004,Storm,Tropical cyclone,Ivan,Bahamas (the),
2005,Storm,Tropical cyclone,"Hurricane ""Wilma""",Bahamas (the),
2007,Storm,Tropical cyclone,Noel,Bahamas (the),"Abaco, Long Island, Exuma, Cat Island, Andros, New Providence islands (Administrative unit not available)"
2008,Storm,Tropical cyclone,"Hurricane ""Gustav""",Bahamas (the),
2008,Storm,Tropical cyclone,Hurricane Ike,Bahamas (the),"Great Inagua, Mayaguana, Acklins, Crooked, Raaged Islands (Administrative unit not available)"
2011,Storm,Tropical cyclone,Hurricane Irene,Bahamas (the),
2012,Storm,Tropical cyclone,Hurricane Sandy,Bahamas (the),
2015,Storm,Tropical cyclone,Hurricane 'Joaquin',Bahamas (the),"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)"
2016,Storm,Tropical cyclone,Hurricane 'Matthew',Bahamas (the),"New Providence, Nassau"
2017,Storm,Tropical cyclone,Hurricane 'Irma',Bahamas (the),"Inagua, Mayaguana, Crooked Island, Acklins, Long Cay, Ragged Island, San Salvador, Bimini"
2019,Storm,Tropical cyclone,Tropical cyclone 'Dorian',Bahamas (the),"Great Abaco, Grand Bahama"
1972,Storm,Convective storm,,Bangladesh,Mymensingh
1976,Storm,Convective storm,,Bangladesh,Faridpur district
1976,Storm,Convective storm,,Bangladesh,Dhamgarh (near Dacca)
1977,Storm,Convective storm,,Bangladesh,
1981,Storm,Convective storm,,Bangladesh,Noakhali district
1983,Storm,Convective storm,,Bangladesh,Kulna
1985,Storm,Convective storm,,Bangladesh,Pabna district
1986,Storm,Convective storm,,Bangladesh,"Gopalganj, Piropjur districts (Mymensingh, Brahmanbaria, Netrokona)"
1989,Storm,Convective storm,,Bangladesh,"Manikganj, Dhaka, Tangail districts"
1990,Storm,Convective storm,,Bangladesh,"Manikganj, Siranjganj, Chandpur districts"
1990,Storm,Convective storm,,Bangladesh,South East
1991,Storm,Convective storm,,Bangladesh,"Ghorasal, Tungi, Sirajganj"
1993,Storm,Convective storm,,Bangladesh,"Bogra, Noagaon, Sunamganj, Sylhet, Tangail, Jamalpur"
1995,Storm,Convective storm,,Bangladesh,Chittagong
1995,Storm,Convective storm,,Bangladesh,"Chittagong, Madaripur, Munshiganj districts"
1997,Storm,Convective storm,,Bangladesh,Tongi Dis. - 1st level = Dhaka
1999,Storm,Convective storm,,Bangladesh,Kurigram (Rangpur)
1999,Storm,Convective storm,,Bangladesh,"Panchagarh district, Level 1 = Rajshahi Div"
2000,Storm,Convective storm,,Bangladesh,Natore district (Rajshahi province)
2000,Storm,Convective storm,,Bangladesh,"Ullahpara area (Sirajganj district, Rajshahi province), Gaurnadi area (Barisal district, Barisal province)"
2001,Storm,Convective storm,,Bangladesh,"Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts (Rangpur province)"
2004,Storm,Convective storm,,Bangladesh,"Mymensingh, Netrakona districts (Dhaka province)"
2004,Storm,Convective storm,,Bangladesh,Sylhet province
2005,Storm,Convective storm,,Bangladesh,"Gaibandha, Rangpur districts (Rangpur province), Chandpur district (Chittagong province), Habiganj district (Sylhet province), Faridpur, Kishoreganj, Manikganj, Munshiganj districts (Dhaka province)"
2006,Storm,Convective storm,,Bangladesh,"Bagerhat, Khulna districts (Khulna province)"
2010,Storm,Convective storm,,Bangladesh,Mymensingh district (Dhaka province)
2011,Storm,Convective storm,,Bangladesh,"Sherpur, Jamalpur, Netrakona, Mymensingh districts (Dhaka province), Rangpur, Thakurgaon, Gaibandha districts (Rangpur province), Pabna district (Rajshahi province)"
2012,Storm,Convective storm,,Bangladesh,"Panchagarh, Rangpur, Nilphamari districts (Rangpur province), Noakhali, Comilla districts (Chittagong province), Narsingdi, Jamalpur, Faridpur, Shariatpur districts (Dhaka province), Jessore, Satkhira, Khulna, Chuadanga districts (Khulna province), Rajshahi district (Rajshahi province), Sylhet district (Sylhet province), Bhola district (Barisal province)"
2012,Storm,Convective storm,,Bangladesh,"Hatiya, Companiganj, Subarnarchar areas (Noakhali district, Chittagong province), Monpura, Charfasson areas (Bhola district, Barisal province), Sandwip, Mirsharai areas (Chittagong district, Chittagong province)"
2013,Storm,Convective storm,,Bangladesh,"Natore, Naogaon districts (Rajshahi province)"
2013,Storm,Convective storm,,Bangladesh,"Sadar, Akhaura, Bijoynagar areas (Brahamanbaria district, Chittagong province)"
2014,Storm,Convective storm,,Bangladesh,"Sunamganj district (Sylhet province), Tangail, Netrakona districts (Dhaka province), Naogaon district (Rajshahi province)"
2014,Storm,Convective storm,,Bangladesh,Faridpur district (Dhaka province)
2015,Storm,Convective storm,,Bangladesh,"Bogra, Rajshahi, Naogaon, Sirajganj, Pabna districts (Rajshahi province), Brahamanbaria district (Chittagong province), Dhaka districts (Dhaka province)"
2015,Storm,Convective storm,,Bangladesh,"Sunamganj district (Sylhet province), Jamalpur, Sherpur, Mymensingh districts (Dhaka province), Gaibandha, Dinajpur districts (Rangpur province), Bagerhat district (Khulna province)"
2015,Storm,Convective storm,,Bangladesh,Dinajpur
2016,Storm,Convective storm,,Bangladesh,"Dhaka (Jatrabarhi’s Konaparha), Rajshahi (Mohanpur, Durgapur, Gogagarhi), Sirajgani (Raiganj, Ullaparha), Pabna (Sujanagar, Berha), Rajbari, Kishoreganj (Hossainpur, Tarhail, Bajitpur), Brahmanbarhia (Sarail, Banchharampur), Gazipur (Kapasia), Bogra (Sherpur), Natore (Lalpur), Habiganj (Baniachong), Naogaon (Atrai), Nilphamari (Kishoreganj)"
2017,Storm,Convective storm,,Bangladesh,"Rajshani, Chapainawabganj (Nawabganj), Dorgapara (Rajshahi)"
2018,Storm,Convective storm,,Bangladesh,
2019,Storm,Convective storm,,Bangladesh,Dhaka
1904,Storm,Tropical cyclone,,Bangladesh,Chittagong
1909,Storm,Tropical cyclone,,Bangladesh,Bakerganj
1909,Storm,Tropical cyclone,,Bangladesh,West Sundarbans
1911,Storm,Tropical cyclone,,Bangladesh,Teknaf
1919,Storm,Tropical cyclone,,Bangladesh,Bakerganj
1922,Storm,Tropical cyclone,,Bangladesh,Teknaf
1923,Storm,Tropical cyclone,,Bangladesh,"Cox's Bazar, Chittagong"
1926,Storm,Tropical cyclone,,Bangladesh,Cox's Bazar
1937,Storm,Tropical cyclone,,Bangladesh,Noakhali
1941,Storm,Tropical cyclone,,Bangladesh,"Bhola, East Meghna estuary"
1942,Storm,Tropical cyclone,,Bangladesh,West Sundarbans
1947,Storm,Tropical cyclone,,Bangladesh,"Cox's Bazar, Chittagong"
1958,Storm,Tropical cyclone,,Bangladesh,East Meghna Estuary
1958,Storm,Tropical cyclone,,Bangladesh,
1960,Storm,Tropical cyclone,,Bangladesh,"Noakhali, Off-Shore Islands"
1960,Storm,Tropical cyclone,,Bangladesh,"Chittagong area, Off-Shore Islands"
1961,Storm,Tropical cyclone,,Bangladesh,Megna Eestuary
1961,Storm,Tropical cyclone,,Bangladesh,Chittagong
1963,Storm,Tropical cyclone,,Bangladesh,"Chittagong, Noakhali"
1963,Storm,Tropical cyclone,,Bangladesh,
1964,Storm,Tropical cyclone,,Bangladesh,Jessore district
1965,Storm,Tropical cyclone,,Bangladesh,Barisal district
1965,Storm,Tropical cyclone,,Bangladesh,
1965,Storm,Tropical cyclone,,Bangladesh,Chittagong to Teknaf
1966,Storm,Tropical cyclone,,Bangladesh,"Chittagong, Sandwip"
1967,Storm,Tropical cyclone,,Bangladesh,Dacca
1967,Storm,Tropical cyclone,,Bangladesh,"South, near Cox's Bazar"
1968,Storm,Tropical cyclone,,Bangladesh,"Madaripur, Faridpur"
1969,Storm,Tropical cyclone,,Bangladesh,"Dacca, Comilla"
1970,Storm,Tropical cyclone,,Bangladesh,"Khulna, Chittagong"
1971,Storm,Tropical cyclone,,Bangladesh,Coastal areas
1973,Storm,Tropical cyclone,,Bangladesh,South coast
1974,Storm,Tropical cyclone,,Bangladesh,
1974,Storm,Tropical cyclone,,Bangladesh,"Coastal areas, off-shore Islands"
1977,Storm,Tropical cyclone,,Bangladesh,Mymensingh district
1979,Storm,Tropical cyclone,,Bangladesh,Eastern
1979,Storm,Tropical cyclone,,Bangladesh,South coast
1980,Storm,Tropical cyclone,,Bangladesh,
1981,Storm,Tropical cyclone,,Bangladesh,
1981,Storm,Tropical cyclone,,Bangladesh,Comilla
1983,Storm,Tropical cyclone,,Bangladesh,South
1983,Storm,Tropical cyclone,,Bangladesh,Chittagong
1983,Storm,Tropical cyclone,,Bangladesh,Chittagong
1985,Storm,Tropical cyclone,,Bangladesh,"Urir, Jabbar, Bata, Darbesh, Clark, Sudharam, Hatia, Sand Wip Islands Patuakhali, Bhola, North Chittagong, Feni, Noakhali districts"
1986,Storm,Tropical cyclone,,Bangladesh,"Kuna, Bagerhat, Sathkhira, Pathuakhali, Barguna"
1986,Storm,Tropical cyclone,,Bangladesh,Bengal Bay (South-West)
1987,Storm,Tropical cyclone,,Bangladesh,"Hatiya, Swandwip, Patuakhali, Bhola regions"
1988,Storm,Tropical cyclone,,Bangladesh,"Patuakhali, Cox's Bazar"
1988,Storm,Tropical cyclone,04B,Bangladesh,"Bagherhat, Barguna, Bhola, Jessore, Khulna, Patuakahli, Pirozpur, Satkhira, Sundarbans"
1989,Storm,Tropical cyclone,,Bangladesh,"Manikganj, Tangail"
1990,Storm,Tropical cyclone,Ofa,Bangladesh,Chittagong
1991,Storm,Tropical cyclone,Gorky (02B),Bangladesh,"Cox's Bazar, Chittagong, Patuakhali, Noakhali, Bhola, Barguna"
1993,Storm,Tropical cyclone,,Bangladesh,"Begumgang, Thana Unions"
1993,Storm,Tropical cyclone,,Bangladesh,Sylhet
1994,Storm,Tropical cyclone,,Bangladesh,"St. Martins, Teknaf Upazila, Ukhia Upazila ( Near Cox's Bazar), Kutubdia Isl., Moheskhali Isl., Bandarban"
1994,Storm,Tropical cyclone,,Bangladesh,"Mymensingh, Chittagong (North-East and Southern Bangladesh)"
1995,Storm,Tropical cyclone,,Bangladesh,Gulf of Bengale
1996,Storm,Tropical cyclone,,Bangladesh,"Gopalpur, Basail, Kalihati, Shokipur, Mirzapur, Ghatail (Tangail district), Thanas of Madarganj, Bakhiganj, Sarishabari (Jamalpur district)"
1996,Storm,Tropical cyclone,,Bangladesh,"Chittagong, Patuakhali, Pirojpur"
1997,Storm,Tropical cyclone,One Bravo (01B),Bangladesh,"Banshkali, Anowara (Chittagong district), Cox's Bazar, Teknaf, Chokoria, Moheshkali, Kutubdia (Cox's Bazar district)"
